"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-05-08";"168";"503028 (200434, 805623)";"6489 (4277, 8702)";"2492153 (1089274, 3895033)";"30226 (20825, 39626)";"345328 (238400, 452256)";"257003 (170009, 343996)";"54698 (33626, 75770)";"77925 (55548, 100302)";"140265 (99986, 180544)";"40%"
"2015-05-07";"167";"496539 (195403, 797675)";"6454 (4220, 8687)";"2461927 (1063544, 3860311)";"30092 (20645, 39539)";"343817 (236393, 451242)";"255615 (167809, 343420)";"54343 (33034, 75652)";"77489 (54901, 100078)";"139481 (98822, 180140)";"40%"
"2015-05-06";"166";"490085 (190458, 789712)";"6418 (4162, 8673)";"2431835 (1038172, 3825499)";"29955 (20456, 39455)";"342275 (234288, 450262)";"254203 (165544, 342862)";"53983 (32433, 75534)";"77047 (54236,  99857)";"138684 (97626, 179742)";"40%"
"2015-05-05";"165";"483668 (185601, 781735)";"6381 (4102, 8660)";"2401880 (1013161, 3790599)";"29816 (20258, 39373)";"340700 (232083, 449317)";"252768 (163215, 342321)";"53619 (31823, 75415)";"76597 (53555,  99638)";"137874 (96399, 179349)";"40%"
"2015-05-04";"164";"477287 (180831, 773742)";"6344 (4041, 8647)";"2372064 ( 988518, 3755611)";"29673 (20052, 39295)";"339093 (229778, 448408)";"251309 (160825, 341794)";"53250 (31207, 75293)";"76140 (52857,  99423)";"137052 (95143, 178961)";"40%"
"2015-05-03";"163";"470943 (176149, 765736)";"6306 (3978, 8634)";"2342391 ( 964246, 3720536)";"29528 (19836, 39220)";"337454 (227374, 447534)";"249828 (158376, 341280)";"52876 (30584, 75169)";"75676 (52144,  99208)";"136217 (93859, 178575)";"40%"
"2015-05-02";"162";"464637 (171556, 757717)";"6268 (3914, 8621)";"2312863 ( 940350, 3685376)";"29380 (19613, 39148)";"335784 (224872, 446695)";"248324 (155872, 340776)";"52498 (29955, 75041)";"75206 (51415,  98996)";"135370 (92548, 178192)";"40%"
"2015-05-01";"161";"458369 (167052, 749686)";"6229 (3849, 8609)";"2283483 ( 916834, 3650131)";"29230 (19380, 39079)";"334082 (222272, 445891)";"246797 (153316, 340279)";"52116 (29322, 74910)";"74728 (50673,  98783)";"134511 (91212, 177810)";"40%"
"2015-04-30";"160";"452140 (162638, 741643)";"6189 (3782, 8596)";"2254253 ( 893702, 3614804)";"29076 (19140, 39012)";"332348 (219577, 445119)";"245248 (150709, 339787)";"51729 (28684, 74774)";"74244 (49917,  98571)";"133640 (89851, 177428)";"40%"
"2015-04-29";"159";"445951 (158313, 733589)";"6149 (3714, 8584)";"2225177 ( 870958, 3579395)";"28920 (18891, 38949)";"330584 (216788, 444379)";"243677 (148057, 339298)";"51338 (28042, 74633)";"73754 (49149,  98358)";"132757 (88469, 177044)";"40%"
"2015-04-28";"158";"439802 (154079, 725525)";"6109 (3646, 8571)";"2196257 ( 848606, 3543908)";"28761 (18635, 38888)";"328788 (213908, 443668)";"242084 (145361, 338807)";"50942 (27398, 74486)";"73257 (48370,  98144)";"131862 (87066, 176658)";"40%"
"2015-04-27";"157";"433693 (149934, 717452)";"6067 (3576, 8559)";"2167496 ( 826647, 3508344)";"28600 (18371, 38829)";"326962 (210940, 442984)";"240469 (142625, 338314)";"50543 (26752, 74334)";"72753 (47579,  97927)";"130956 (85643, 176268)";"40%"
"2015-04-26";"156";"427626 (145880, 709372)";"6026 (3505, 8546)";"2138896 ( 805086, 3472705)";"28435 (18099, 38772)";"325105 (207886, 442324)";"238834 (139854, 337813)";"50140 (26105, 74174)";"72243 (46779,  97707)";"130038 (84203, 175873)";"40%"
"2015-04-25";"155";"421600 (141916, 701284)";"5984 (3434, 8533)";"2110460 ( 783926, 3436995)";"28269 (17821, 38717)";"323218 (204750, 441685)";"237177 (137049, 337304)";"49732 (25457, 74008)";"71727 (45970,  97484)";"129109 (82746, 175471)";"40%"
"2015-04-24";"154";"415616 (138043, 693190)";"5941 (3362, 8520)";"2082192 ( 763168, 3401216)";"28099 (17535, 38663)";"321301 (201536, 441065)";"235499 (134216, 336782)";"49321 (24809, 73833)";"71205 (45153,  97257)";"128169 (81276, 175062)";"40%"
